stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id,platform_code
11213,Flinders Street Station,-37.81814377,144.96649165,https://transport.vic.gov.au/stop/1071/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FSS,1,Level 0,2
11214,Flinders Street Station,-37.81819840,144.96652423,https://transport.vic.gov.au/stop/1071/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FSS,1,Level 0,3
11215,Flinders Street Station,-37.81828907,144.96655582,https://transport.vic.gov.au/stop/1071/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FSS,1,Level 0,4
11216,Flinders Street Station,-37.81832588,144.96660025,https://transport.vic.gov.au/stop/1071/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FSS,1,Level 0,5
11217,Flinders Street Station,-37.81843476,144.96664271,https://transport.vic.gov.au/stop/1071/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FSS,1,Level 0,6
11218,Flinders Street Station,-37.81850740,144.96667479,https://transport.vic.gov.au/stop/1071/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FSS,1,Level 0,7
11219,Jordanville Station,-37.87353005,145.11201245,https://transport.vic.gov.au/stop/1105/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:JOR,1,Level 1,2
11220,Frankston Station,-38.14260955,145.12603509,https://transport.vic.gov.au/stop/1073/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FKN,1,Level 1,1
11221,Frankston Station,-38.14270218,145.12619247,https://transport.vic.gov.au/stop/1073/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FKN,1,Level 1,2
11222,Kananook Station,-38.12175987,145.13528348,https://transport.vic.gov.au/stop/1106/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:KAN,1,Level 0,1
11223,Kananook Station,-38.12177051,145.13538587,https://transport.vic.gov.au/stop/1106/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:KAN,1,Level 0,2
11224,Seaford Station,-38.10394807,145.12817524,https://transport.vic.gov.au/stop/1174/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:SEA,1,Level 0,1
11225,Seaford Station,-38.10405762,145.12826368,https://transport.vic.gov.au/stop/1174/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:SEA,1,Level 0,2
11226,Carrum Station,-38.07742515,145.12298052,https://transport.vic.gov.au/stop/1035/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:CAR,1,Level 1,1
11227,Carrum Station,-38.07740878,145.12308355,https://transport.vic.gov.au/stop/1035/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:CAR,1,Level 1,2
11228,Bonbeach Station,-38.06555519,145.12005815,https://transport.vic.gov.au/stop/1024/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:BON,1,Level -1,1
11229,Bonbeach Station,-38.06555701,145.12017209,https://transport.vic.gov.au/stop/1024/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:BON,1,Level -1,2
11230,Chelsea Station,-38.05320706,145.11654487,https://transport.vic.gov.au/stop/1038/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:CSA,1,Level -1,1
11231,Chelsea Station,-38.05315447,145.11663739,https://transport.vic.gov.au/stop/1038/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:CSA,1,Level -1,2
11232,Edithvale Station,-38.03628004,145.10737348,https://transport.vic.gov.au/stop/1060/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:EDI,1,Level -1,1
11233,Edithvale Station,-38.03629124,145.10750992,https://transport.vic.gov.au/stop/1060/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:EDI,1,Level -1,2
11234,Aspendale Station,-38.02730035,145.10209059,https://transport.vic.gov.au/stop/1011/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:ASP,1,Level 0,1
11235,Aspendale Station,-38.02708416,145.10209616,https://transport.vic.gov.au/stop/1011/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:ASP,1,Level 1,2
11236,Mordialloc Station,-38.00589057,145.08719900,https://transport.vic.gov.au/stop/1134/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:MOR,1,Level 1,1
11237,Mordialloc Station,-38.00583819,145.08730286,https://transport.vic.gov.au/stop/1134/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:MOR,1,Level 1,2
11238,Parkdale Station,-37.99285630,145.07594547,https://transport.vic.gov.au/stop/1154/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:PKD,1,Level 1,1
11239,Parkdale Station,-37.99277653,145.07602727,https://transport.vic.gov.au/stop/1154/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:PKD,1,Level 1,2
11240,Mentone Station,-37.98323230,145.06608639,https://transport.vic.gov.au/stop/1122/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:MEN,1,Level 0,1
11241,Mentone Station,-37.98320640,145.06615539,https://transport.vic.gov.au/stop/1122/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:MEN,1,Level 0,2
11243,Cheltenham Station,-37.96642900,145.05427919,https://transport.vic.gov.au/stop/1039/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:CTM,1,Level -1,1
11244,Cheltenham Station,-37.96636840,145.05442877,https://transport.vic.gov.au/stop/1039/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:CTM,1,Level -1,3
11245,Upper Ferntree Gully Station,-37.89256606,145.30707772,https://transport.vic.gov.au/stop/1199/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:UFG,1,Level 0,1
11246,Upper Ferntree Gully Station,-37.89244943,145.30711451,https://transport.vic.gov.au/stop/1199/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:UFG,1,Level 0,2
11247,Ferntree Gully Station,-37.88166932,145.29513821,https://transport.vic.gov.au/stop/1067/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FTG,1,Level 0,1
11248,Ferntree Gully Station,-37.88152567,145.29517564,https://transport.vic.gov.au/stop/1067/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FTG,1,Level 0,2
11410,Bayswater Station,-37.84141772,145.26773459,https://transport.vic.gov.au/stop/1016/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:BAY,1,Level 0,1
11411,Bayswater Station,-37.84138285,145.26781495,https://transport.vic.gov.au/stop/1016/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:BAY,1,Level 0,2
11412,Heathmont Station,-37.82841236,145.24455324,https://transport.vic.gov.au/stop/1092/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:HMT,1,Level 0,1
11413,Heathmont Station,-37.82827723,145.24455644,https://transport.vic.gov.au/stop/1092/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:HMT,1,Level 0,2
11471,Highett Station,-37.94846066,145.04184809,https://transport.vic.gov.au/stop/1095/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:HIG,1,Level 0,1
12158,Glen Waverley Station,-37.87974241,145.16289300,https://transport.vic.gov.au/stop/1078/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:GWY,1,Level 0,1
12159,Glen Waverley Station,-37.87969755,145.16290548,https://transport.vic.gov.au/stop/1078/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:GWY,1,Level 0,2
12160,Syndal Station,-37.87630838,145.14963072,https://transport.vic.gov.au/stop/1190/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:SYN,1,Level 1,1
12161,Syndal Station,-37.87622748,145.14964411,https://transport.vic.gov.au/stop/1190/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:SYN,1,Level 1,2
12162,Mount Waverley Station,-37.87531919,145.12754247,https://transport.vic.gov.au/stop/1137/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:MWY,1,Level 0,1
12163,Mount Waverley Station,-37.87522281,145.12771544,https://transport.vic.gov.au/stop/1137/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:MWY,1,Level 0,2
12164,Lilydale Station,-37.75726653,145.34580971,https://transport.vic.gov.au/stop/1115/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:LIL,1,Level 2,1
12165,Lilydale Station,-37.75722021,145.34571994,https://transport.vic.gov.au/stop/1115/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:LIL,1,Level 2,2
12166,Mooroolbark Station,-37.78475842,145.31307216,https://transport.vic.gov.au/stop/1133/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:MLK,1,Level 1,1
12167,Mooroolbark Station,-37.78467685,145.31303994,https://transport.vic.gov.au/stop/1133/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:MLK,1,Level 1,2
12168,Croydon Station,-37.79520472,145.28073944,https://transport.vic.gov.au/stop/1048/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:CDN,1,Level 1,1
12169,Croydon Station,-37.79512264,145.28067320,https://transport.vic.gov.au/stop/1048/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:CDN,1,Level 1,2
12170,Ringwood East Station,-37.81178415,145.24994534,https://transport.vic.gov.au/stop/1164/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:RWE,1,Level -1,1
12171,Ringwood East Station,-37.81171157,145.24991297,https://transport.vic.gov.au/stop/1164/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:RWE,1,Level -1,2
12172,Pakenham Station,-38.08051492,145.48568563,https://transport.vic.gov.au/stop/1153/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:PKM,1,Level 1,1
12173,Pakenham Station,-38.08043442,145.48573290,https://transport.vic.gov.au/stop/1153/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:PKM,1,Level 1,2
12174,Officer Station,-38.06620008,145.41100885,https://transport.vic.gov.au/stop/1151/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:OFC,1,Level 0,1
12175,Officer Station,-38.06612862,145.41105600,https://transport.vic.gov.au/stop/1151/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:OFC,1,Level 0,2
12176,Beaconsfield Station,-38.05098451,145.36607033,https://transport.vic.gov.au/stop/1017/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:BFD,1,Level 0,1
12177,Beaconsfield Station,-38.05090406,145.36611771,https://transport.vic.gov.au/stop/1017/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:BFD,1,Level 0,2
12178,Berwick Station,-38.03983078,145.34503260,https://transport.vic.gov.au/stop/1021/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:BEW,1,Level 0,1
12179,Berwick Station,-38.03979650,145.34515871,https://transport.vic.gov.au/stop/1021/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:BEW,1,Level 0,2
12180,Narre Warren Station,-38.02759031,145.30378076,https://transport.vic.gov.au/stop/1139/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:NWA,1,Level 1,1
12181,Narre Warren Station,-38.02751889,145.30382798,https://transport.vic.gov.au/stop/1139/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:NWA,1,Level 1,2
12182,Hallam Station,-38.01798764,145.27004437,https://transport.vic.gov.au/stop/1085/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:HLM,1,Level 1,1
12183,Hallam Station,-38.01787103,145.27008129,https://transport.vic.gov.au/stop/1085/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:HLM,1,Level 1,2
12184,Cranbourne Station,-38.09977370,145.28074169,https://transport.vic.gov.au/stop/1045/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:CBE,1,Level 0,1
12185,Cranbourne Station,-38.09972949,145.28079974,https://transport.vic.gov.au/stop/1045/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:CBE,1,Level 0,2
12186,Merinda Park Station,-38.07904333,145.26336215,https://transport.vic.gov.au/stop/1123/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:MPK,1,Level 1,1
12187,Dandenong Station,-37.99014081,145.20983503,https://transport.vic.gov.au/stop/1049/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:DNG,1,Level 0,1
12188,Dandenong Station,-37.99010512,145.20985868,https://transport.vic.gov.au/stop/1049/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:DNG,1,Level 0,2
12189,Dandenong Station,-37.98998732,145.20981599,https://transport.vic.gov.au/stop/1049/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:DNG,1,Level 0,3
12190,Yarraman Station,-37.97802635,145.19141233,https://transport.vic.gov.au/stop/1215/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:YMN,1,Level 0,1
12191,Yarraman Station,-37.97797335,145.19148194,https://transport.vic.gov.au/stop/1215/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:YMN,1,Level 0,2
12192,Noble Park Station,-37.96629632,145.17587747,https://transport.vic.gov.au/stop/1142/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:NPK,1,Level 1,1
12193,Noble Park Station,-37.96625233,145.17594686,https://transport.vic.gov.au/stop/1142/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:NPK,1,Level 1,2
12194,Sandown Park Station,-37.95691687,145.16325951,https://transport.vic.gov.au/stop/1172/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:SNP,1,Level 0,1
12195,Flagstaff Station,-37.81216317,144.95522846,https://transport.vic.gov.au/stop/1068/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FGS,1,Level -4,3
12196,Flagstaff Station,-37.81204489,144.95516356,https://transport.vic.gov.au/stop/1068/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FGS,1,Level -4,4
12197,Melbourne Central Station,-37.80998282,144.96253553,https://transport.vic.gov.au/stop/1120/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:MCE,1,Level -3,3
12198,Melbourne Central Station,-37.80991898,144.96249185,https://transport.vic.gov.au/stop/1120/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:MCE,1,Level -3,4
12199,Parliament Station,-37.81097201,144.97285637,https://transport.vic.gov.au/stop/1155/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:PAR,1,Level -3,3
12200,Parliament Station,-37.81092148,144.97306221,https://transport.vic.gov.au/stop/1155/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:PAR,1,Level -3,4
12201,Flinders Street Station,-37.81860631,144.96770585,https://transport.vic.gov.au/stop/1071/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FSS,1,Level 0,13
12203,Flinders Street Station,-37.81876079,144.96673600,https://transport.vic.gov.au/stop/1071/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FSS,1,Level 0,10
12204,Flinders Street Station,-37.81864369,144.96673921,https://transport.vic.gov.au/stop/1071/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FSS,1,Level 0,9
12205,Flinders Street Station,-37.81858025,144.96671823,https://transport.vic.gov.au/stop/1071/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:FSS,1,Level 0,8
12206,East Camberwell Station,-37.82584107,145.06824844,https://transport.vic.gov.au/stop/1057/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:ECM,1,Level 0,1
12207,East Camberwell Station,-37.82576845,145.06821625,https://transport.vic.gov.au/stop/1057/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:ECM,1,Level 0,2
12210,Canterbury Station,-37.82444513,145.08153203,https://transport.vic.gov.au/stop/1033/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:CBY,1,Level 1,1
12211,Canterbury Station,-37.82439954,145.08149913,https://transport.vic.gov.au/stop/1033/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:CBY,1,Level 1,2
12212,Chatham Station,-37.82428279,145.08872789,https://transport.vic.gov.au/stop/1037/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:CHM,1,Level 1,1
12213,Chatham Station,-37.82419308,145.08875293,https://transport.vic.gov.au/stop/1037/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:CHM,1,Level 1,2
12221,Box Hill Station,-37.81934528,145.12183478,https://transport.vic.gov.au/stop/1026/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:BOX,1,Level -1,2
12222,Box Hill Station,-37.81927340,145.12184796,https://transport.vic.gov.au/stop/1026/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:BOX,1,Level -1,3
12224,Laburnum Station,-37.82067267,145.14073949,https://transport.vic.gov.au/stop/1111/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:LAB,1,Level 1,2
12225,Laburnum Station,-37.82073770,145.14086283,https://transport.vic.gov.au/stop/1111/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:LAB,1,Level 1,1
12226,Blackburn Station,-37.82019776,145.15006717,https://transport.vic.gov.au/stop/1023/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:BBN,1,Level 0,1
12227,Blackburn Station,-37.82010785,145.15008078,https://transport.vic.gov.au/stop/1023/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:BBN,1,Level 0,2
12229,Nunawading Station,-37.82045851,145.17486120,https://transport.vic.gov.au/stop/1148/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:NWG,1,Level -1,2
12230,Nunawading Station,-37.82053075,145.17487078,https://transport.vic.gov.au/stop/1148/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:NWG,1,Level -1,1
12231,Mitcham Station,-37.81798383,145.19321242,https://transport.vic.gov.au/stop/1128/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:MCH,1,Level -1,2
12232,Mitcham Station,-37.81804724,145.19323360,https://transport.vic.gov.au/stop/1128/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:MCH,1,Level -1,1
12233,Heatherdale Station,-37.81874764,145.21433580,https://transport.vic.gov.au/stop/1091/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:HTD,1,Level -1,2
12234,Heatherdale Station,-37.81885161,145.21406065,https://transport.vic.gov.au/stop/1091/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,vic:rail:HTD,1,Level -1,1
